EmployeeID,Age,Gender,Department,Location,Tenure_Years,Salary,Performance_Rating,Attrition
1001,50,Female,Marketing,Berlin,12,104027,2,1
1002,36,Female,Finance,Berlin,9,97906,2,0
1003,29,Male,Sales,New York,7,68138,4,0
1004,42,Male,Sales,Tokyo,3,132601,4,0
1005,40,Male,Finance,Berlin,3,69956,4,0
1006,44,Female,Finance,Tokyo,3,147268,2,0
1007,32,Non-Binary,HR,New York,5,144797,3,0
1008,32,Male,Sales,Tokyo,6,116295,5,0
1009,45,Male,Marketing,London,5,45439,3,0
1010,57,Female,Engineering,Paris,0,87241,3,0
1011,45,Male,Engineering,Berlin,11,82533,2,0
1012,24,Non-Binary,Finance,Paris,7,68270,3,1
1013,43,Non-Binary,HR,Tokyo,12,118815,1,0
1014,23,Male,Engineering,Berlin,9,79279,4,0
1015,45,Male,Sales,Tokyo,14,149787,1,1
1016,51,Female,Finance,London,10,63888,5,0
1017,59,Non-Binary,Marketing,New York,12,57630,4,0
1018,23,Non-Binary,Finance,Berlin,6,101063,3,0
1019,42,Male,Marketing,London,5,75144,5,0
1020,54,Female,Finance,London,5,92161,4,0
1021,33,Non-Binary,Finance,Berlin,4,136718,3,0
1022,43,Non-Binary,Finance,Tokyo,5,131074,1,1
1023,46,Female,Marketing,London,11,117360,4,0
1024,48,Female,Marketing,Paris,8,90979,3,0
1025,49,Non-Binary,Finance,London,9,137661,1,0
1026,37,Non-Binary,Engineering,Tokyo,8,46979,5,0
1027,36,Female,HR,Tokyo,14,66189,5,0
1028,24,Non-Binary,HR,Paris,9,82600,5,0
1029,58,Male,HR,London,7,99560,5,0
1030,28,Male,Marketing,Tokyo,9,118040,2,0
1031,42,Female,Marketing,Berlin,8,101558,4,1
1032,30,Female,Engineering,New York,12,126205,4,0
1033,39,Female,HR,New York,9,46910,2,0
1034,25,Male,HR,New York,7,97713,3,0
1035,46,Non-Binary,Finance,London,7,86857,3,1
1036,35,Male,Marketing,Paris,0,74964,5,0
1037,30,Non-Binary,HR,Tokyo,9,125667,1,1
1038,47,Male,Engineering,Berlin,10,65227,3,0
1039,23,Non-Binary,Engineering,Berlin,4,45978,1,0
1040,41,Male,HR,London,3,127527,4,0
1041,49,Female,Marketing,New York,1,57153,1,0
1042,28,Male,Engineering,London,7,99765,4,0
1043,29,Non-Binary,Finance,Paris,2,139084,2,0
1044,56,Male,Engineering,Paris,3,148212,2,0
1045,35,Male,Sales,Tokyo,11,79071,5,0
1046,38,Male,Sales,Tokyo,6,109519,3,1
1047,57,Female,Marketing,Paris,9,49503,5,0
1048,25,Male,HR,Paris,8,100703,4,1
1049,23,Female,Marketing,Paris,1,104379,5,0
1050,27,Female,Marketing,London,2,135457,1,0
